lat,lon,Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,NPP
-17.715097,-22.5,22.778656,0.000252308,217.09603,1.4107234,0.000214971,8.072774,0.015160395,36.993435,36.032543,0.06332087,0.40781775,26.006412,0.000537532,0.376206094
-17.715097,-21.5,22.755579,0.000252582,217.28623,1.4383934,0.000211419,8.073448,0.01476228,36.951218,35.9304,0.06743382,0.4080942,26.011173,0.000546896,0.381449129
-17.715097,-20.5,22.663242,0.000248214,217.70117,1.4521483,0.00020491,8.074687,0.015200468,36.90368,35.852055,0.0734578,0.40784523,25.822114,0.000551142,0.37989422
-17.715097,-19.5,22.516571,0.000239931,218.34719,1.4528328,0.000218538,8.076327,0.0169342,36.860897,35.80329,0.082141334,0.41143668,25.474753,0.000545922,0.373827156
-17.715097,-18.5,22.294613,0.000228194,219.26792,1.4340888,0.000241611,8.078177,0.019603342,36.82509,35.76396,0.09556782,0.42376804,25.018003,0.000522966,0.362618249
-17.715097,-17.5,22.055851,0.000213978,220.24104,1.4033638,0.00032892,8.079342,0.022703436,36.80136,35.744797,0.11078595,0.43035585,24.535248,0.0005185,0.359817956
-17.715097,-16.5,21.864847,0.000199128,221.07448,1.3720193,0.000620235,8.080356,0.025675965,36.791992,35.764465,0.12419868,0.4250234,24.110748,0.000557371,0.389480317
-17.715097,-15.5,21.696123,0.000183911,221.85211,1.3466121,0.001721135,8.081588,0.028352066,36.78859,35.756466,0.13657754,0.40366367,23.753501,0.00075162,0.542488078
-17.715097,-14.5,21.536903,0.000168982,222.58471,1.3333255,0.004356373,8.082335,0.03053296,36.772724,35.665447,0.1535554,0.4064818,23.497997,0.001050625,0.884565889
-17.715097,-13.5,21.457897,0.000159274,222.97376,1.3369082,0.007394678,8.08296,0.031736145,36.772182,35.57953,0.17536945,0.4114307,23.429848,0.001568558,1.342180627
-17.715097,-12.5,21.44814,0.000153278,223.1496,1.3634003,0.015567344,8.083105,0.032546977,36.78612,35.5324,0.20300139,0.4197526,23.448875,0.002967054,2.397818454
-17.715097,-11.5,21.4631,0.000149141,223.19263,1.4043062,0.023281375,8.08289,0.03265067,36.808598,35.421688,0.23731723,0.44553113,23.508642,0.005469502,3.72759211
-17.715097,-10.5,21.460274,0.000143837,223.28435,1.4441094,0.044697877,8.08273,0.03387852,36.82738,35.31354,0.26953357,0.44448832,23.38984,0.012680741,5.655894336
-17.715097,-9.5,21.50434,0.000141453,223.22592,1.490827,0.055095832,8.081949,0.033857526,36.84844,35.217674,0.30221138,0.46827373,23.2956,0.01886434,7.536522735
-17.715097,-8.5,21.64272,0.000142041,223.02325,1.5390016,0.04524668,8.080131,0.031480533,36.873848,35.197945,0.33907563,0.52703893,23.317544,0.017393138,9.281495808
-17.715097,-7.5,21.64594,0.000140114,223.04586,1.5689733,0.07661447,8.0788355,0.033319964,36.892292,35.13538,0.36758027,0.54872876,23.032188,0.028831288,11.24883521
-17.715097,-6.5,21.606142,0.000138947,222.97361,1.5976339,0.115669354,8.078289,0.035696205,36.916515,35.03188,0.38235544,0.5463888,22.703249,0.043281652,12.69054916
-17.715097,-5.5,21.564749,0.000134569,222.46236,1.6112134,0.19189966,8.078298,0.042332966,36.948814,35.04664,0.3873617,0.48447403,22.239588,0.07828993,12.60159483
-17.715097,-4.5,21.552061,0.000123202,222.2161,1.593808,0.25622654,8.07774,0.04813464,36.96659,35.108406,0.38762507,0.48928094,21.823617,0.100983176,13.1855548
-17.715097,-3.5,21.542847,0.000110223,222.02535,1.5521756,0.32607053,8.076578,0.054758697,36.990314,35.2038,0.3833322,0.4990195,21.370213,0.12298653,13.73367882
-17.715097,-2.5,21.50467,0.000101312,221.78459,1.5153579,0.4350439,8.075414,0.064625085,36.99744,35.344578,0.37479398,0.4984632,20.98829,0.1530634,13.57353003
-17.715097,-1.5,21.49156,9.64E-05,221.55066,1.4783387,0.5186296,8.074565,0.07183679,37.00516,35.459057,0.36756226,0.5060054,20.755118,0.17082103,13.47320097
-17.715097,-0.5,21.488146,9.33E-05,221.36566,1.4395729,0.5779391,8.074118,0.07715162,37.00744,35.53958,0.36229347,0.512906,20.599522,0.18392298,13.43226033
-16.767471,-38.5,23.873817,0.00132214,212.54867,1.5801238,0.001477477,8.071263,0.00702059,36.979668,35.822536,0.08202668,0.4832988,29.692283,0.000982313,1.220489856
-16.767471,-37.5,23.964138,0.00063626,212.57831,1.4977439,0.000442481,8.065648,0.007829074,37.02506,36.12505,0.06916993,0.44685674,29.915368,0.00075168,0.759524429
-16.767471,-36.5,23.777544,0.00045131,212.87972,1.4540991,0.000188852,8.069797,0.007025364,36.823967,35.746063,0.058255155,0.41526023,30.249696,0.000601044,0.549683885
-16.767471,-35.5,23.686825,0.00040988,213.27168,1.4198878,0.000153796,8.073693,0.006848437,36.674507,35.621887,0.056514247,0.41897726,29.843304,0.000561308,0.528694315
-16.767471,-34.5,23.717548,0.000380527,213.4119,1.3999122,0.00013559,8.070611,0.007393685,36.745815,35.80331,0.055329467,0.41288474,29.488498,0.000559488,0.515519925
-16.767471,-33.5,23.56204,0.000355872,213.76897,1.3941713,0.000135087,8.073322,0.008093158,36.76387,35.76984,0.054350356,0.41152668,29.2199,0.000546279,0.483909739
-16.767471,-32.5,23.579245,0.000338429,213.86659,1.3903119,0.000135998,8.0713625,0.008665922,36.820667,35.969093,0.05355948,0.40673465,28.998751,0.000554938,0.473918346
-16.767471,-31.5,23.448448,0.000323228,214.20181,1.3778881,0.0001409,8.072756,0.009067892,36.777,35.83038,0.052738123,0.408091,28.749932,0.000544211,0.45776749
-16.767471,-30.5,23.41882,0.000306802,214.37857,1.3615307,0.000156296,8.073526,0.009555903,36.781284,35.902885,0.052224797,0.40845934,28.444877,0.000539372,0.452337178
-16.767471,-29.5,23.353306,0.000291669,214.58748,1.3467316,0.000162102,8.074639,0.01022821,36.792988,35.965164,0.052044583,0.41149727,28.108278,0.000530896,0.44378055
-16.767471,-28.5,23.357063,0.000279677,214.67978,1.337661,0.000161066,8.07589,0.01091444,36.836933,36.114292,0.05193641,0.41165137,27.788483,0.000530599,0.437959374
-16.767471,-27.5,23.31418,0.000270641,214.87492,1.334181,0.00016978,8.075888,0.011531708,36.87943,36.193596,0.052009273,0.41362503,27.494889,0.000526714,0.432507113
-16.767471,-26.5,23.24468,0.000263891,215.14976,1.3356501,0.000175548,8.075839,0.012087141,36.91829,36.216354,0.052174903,0.41436195,27.224319,0.000521772,0.423213009
-16.767471,-25.5,23.172699,0.000259438,215.45245,1.3469752,0.000174949,8.076184,0.012446734,36.945545,36.192486,0.052480616,0.4152743,27.002383,0.000518341,0.413942918
-16.767471,-24.5,23.102144,0.000257284,215.75141,1.3675559,0.000180623,8.075878,0.012515941,36.949688,36.106678,0.05295509,0.41649526,26.85478,0.000516798,0.408059078
-16.767471,-23.5,23.034275,0.000255577,216.04767,1.3932985,0.000182598,8.075659,0.012432923,36.939754,35.983936,0.053861673,0.4161298,26.729193,0.000522399,0.404239663
-16.767471,-22.5,23.02323,0.000254909,216.20241,1.42115,0.000176856,8.075942,0.012019938,36.91499,35.912136,0.055501252,0.41908118,26.659705,0.000531173,0.408951431
-16.767471,-21.5,22.991085,0.000253154,216.40255,1.44541,0.000185079,8.076847,0.011805603,36.883278,35.839783,0.058009973,0.41801107,26.553273,0.000544031,0.414101673
-16.767471,-20.5,22.903696,0.000249678,216.74594,1.4639171,0.000191328,8.078081,0.012162892,36.849598,35.75681,0.06168045,0.41748762,26.361413,0.000555386,0.416776285
-16.767471,-19.5,22.771942,0.000243819,217.34336,1.4738004,0.000221459,8.0791855,0.013502601,36.82516,35.69963,0.06954042,0.42266908,26.05135,0.000572174,0.426715206
-16.767471,-18.5,22.553965,0.000236109,218.2098,1.4773654,0.000275407,8.079793,0.015520362,36.799088,35.602795,0.082824634,0.43385348,25.67028,0.000586631,0.439666683
-16.767471,-17.5,22.352453,0.000228687,219.0369,1.4788245,0.000372234,8.080187,0.017622155,36.781956,35.530952,0.09825647,0.44582257,25.325056,0.000607937,0.46469995
-16.767471,-16.5,22.175167,0.000221206,219.7888,1.4797497,0.000656694,8.080799,0.019647372,36.774406,35.480846,0.113360584,0.44991833,25.022203,0.000676701,0.533722764
-16.767471,-15.5,22.01098,0.000212594,220.49609,1.4812163,0.001735645,8.081712,0.02150658,36.773415,35.4143,0.126442,0.42444533,24.758207,0.000970814,0.741806035
-16.767471,-14.5,21.908749,0.000205834,220.97437,1.492771,0.003456223,8.082388,0.02269516,36.77487,35.35794,0.13917958,0.4312493,24.625298,0.001263001,1.064423462
-16.767471,-13.5,21.870333,0.00020292,221.1276,1.5208201,0.00545282,8.082532,0.023060293,36.78174,35.28917,0.15227246,0.43215302,24.622709,0.001764013,1.448566468
-16.767471,-12.5,21.902315,0.000202578,221.07781,1.5628631,0.008444872,8.08329,0.022794717,36.79894,35.257767,0.17571304,0.44061488,24.704251,0.002654966,2.058352508
-16.767471,-11.5,21.950047,0.000202018,220.99291,1.6104789,0.010238136,8.083974,0.022247177,36.80703,35.20525,0.21059235,0.45981047,24.76335,0.003720849,2.840422464
-16.767471,-10.5,21.972126,0.000198844,221.07571,1.6526744,0.016394652,8.0844,0.022405,36.81837,35.153374,0.25910584,0.4692536,24.690755,0.006218029,4.048797312
