Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,Iceberg,NPP
-1.8083127,0.00111471,322.9892,50.002042,27.752424,8.008994,1.9636494,34.10547,40.765053,0.0608,0.08500447,5.498475,0.0226509,0.470055658,0.1410048
-1.7966751,0.00110568,325.38953,49.177576,27.632624,8.011387,1.9560433,34.103813,40.57389,0.0679,0.09310421,5.484898,0.023948856,0.405744016,0.165888
-1.7928721,0.0011017,327.9422,48.21004,27.487269,8.014037,1.9467198,34.08432,40.321724,0.0745,0.09741736,5.4617687,0.025531184,0.217704542,0.1835136
-1.8000317,0.00108835,330.62205,47.318306,27.372483,8.016973,1.9393532,34.091667,40.08317,0.078,0.09867119,5.4387953,0.027288492,0.164594946,0.191808
-1.8040065,0.00107824,332.63353,46.658352,27.292836,8.01954,1.9340789,34.090252,39.910576,0.0783,0.09819088,5.416937,0.028801669,0.226231704,0.1980288
-1.8024557,0.00107115,333.89854,46.32246,27.261248,8.021881,1.9318436,34.079433,39.83157,0.0748,0.102605104,5.4022893,0.029808756,0.257552317,0.2166912
-1.7976842,0.00104309,334.6383,46.365302,27.325258,8.024575,1.9359835,34.125885,39.957214,0.0706,0.10228843,5.405413,0.030215027,0.177594509,0.2198016
-1.797796,0.00102985,334.15517,46.73827,27.414225,8.027277,1.9415648,34.139164,40.083122,0.0693,0.10536696,5.4139458,0.030034937,0.216953018,0.228096
-1.8022279,0.00101993,332.66887,47.389615,27.539479,8.029495,1.9493663,34.145973,40.296604,0.0775,0.10487263,5.435721,0.029314444,0.183786805,0.2322432
-1.8054364,0.00101245,330.80393,48.07189,27.65336,8.031074,1.956205,34.12991,40.475117,0.109564,0.103320606,5.4660253,0.028719855,0.127223395,0.2612736
-1.7974759,0.001021,329.8702,48.214525,27.616668,8.033243,1.95279,34.033672,40.365993,0.18443,0.10471113,5.491444,0.030030928,0.102209265,0.3960576
-1.7867355,0.00104369,331.4263,47.31864,27.335087,8.036447,1.9335006,33.875885,39.779873,0.347066,0.099104345,5.5183405,0.0372257,0.144412165,0.5723136
-1.7647655,0.00107879,335.892,45.544557,26.78306,8.041935,1.8974907,33.678738,38.71875,0.684791,0.10407919,5.59164,0.053278327,0.207306864,1.0139904
-1.7029934,0.00115915,341.73447,43.035537,25.880532,8.054663,1.839659,33.342705,37.054928,1.187884,0.13454634,5.78408,0.07898889,0.512156105,2.156544
-1.6265073,0.00119771,349.90332,40.19318,24.762891,8.068914,1.7698713,33.183697,35.365982,1.643519,0.17047611,6.2226364,0.10851144,1.209514291,4.810752
-1.8035333,0.00193167,328.89074,45.357034,26.454542,8.0281105,1.8809935,33.993546,38.89765,0.115017,0.06311328,5.36377,0.024702464,1.32530999,0.09839232
-1.85217,0.0015745,331.2596,45.391936,26.618801,8.026895,1.8929535,34.038475,38.975117,0.121293,0.04971925,5.4129763,0.025950374,9.38888928,0.0782784
-1.8273897,0.00150865,330.41698,45.068737,26.51193,8.024102,1.8854315,33.927666,38.84068,0.122825,0.055692926,5.3997375,0.02671073,2.910604838,0.09113472
-1.809545,0.0014547,329.86265,45.03503,26.503963,8.020361,1.8846337,33.893314,38.871716,0.112304,0.05615071,5.398177,0.027321694,1.941883546,0.09300096
-1.7965317,0.00138577,328.29893,45.73551,26.670452,8.016284,1.8950837,33.9131,39.13811,0.0913,0.05514078,5.406385,0.026947298,0.82066513,0.08729856
-1.7976633,0.00131346,324.6936,47.50071,27.04623,8.011186,1.918669,33.943516,39.695835,0.0695,0.05818337,5.4227244,0.024856636,0.617484254,0.08470656
-1.7971227,0.00126345,320.06302,49.7965,27.515503,8.007929,1.9479475,33.961132,40.38955,0.0538,0.06935603,5.445911,0.022086011,0.419254877,0.10046592
-1.8008984,0.00119121,317.82284,51.43001,27.899396,8.005918,1.9722318,34.03184,41.004517,0.0486,0.07824127,5.485933,0.020734593,0.380440515,0.1181952
-1.8025811,0.00114053,317.57584,51.937394,28.049586,8.005152,1.9818058,34.069138,41.247192,0.0483,0.08445942,5.515612,0.020564617,0.288945101,0.1358208
-1.8028059,0.00110475,318.43844,51.907916,28.084366,8.005284,1.9841064,34.09976,41.293373,0.0511,0.09044969,5.533248,0.021074351,0.386041965,0.1544832
-1.7973624,0.00109152,320.00148,51.44971,28.030546,8.006349,1.9807569,34.11052,41.21099,0.0543,0.096630946,5.5358196,0.02179953,0.272221949,0.1721088
-1.7980441,0.0010925,321.98906,50.706018,27.912159,8.007946,1.9733328,34.095898,41.00221,0.0573,0.10097545,5.5227554,0.022682003,0.184097197,0.186624
-1.8029562,0.00107707,324.74503,49.85837,27.801696,8.010392,1.9666534,34.120216,40.797085,0.0595,0.10270521,5.5076345,0.023878798,0.175510333,0.1938816
-1.8069541,0.00106368,327.19135,49.082518,27.701268,8.012751,1.9604478,34.13346,40.6077,0.0607,0.09990955,5.4894355,0.02515175,0.198753731,0.1949184
-1.8087516,0.00104777,328.9692,48.631057,27.656162,8.015115,1.957732,34.146915,40.50822,0.0605,0.10279608,5.477955,0.02608026,0.158615228,0.2063232
-1.8051637,0.00101008,330.1003,48.597585,27.711319,8.017255,1.9616268,34.210537,40.615997,0.0591,0.10547781,5.484695,0.02648297,0.159020954,0.2166912
-1.8031368,0.000996877,329.9576,48.834275,27.77507,8.018717,1.965665,34.21849,40.714024,0.0589,0.108238794,5.4929904,0.026385056,0.20345377,0.2249856
-1.8049881,0.000985609,328.78634,49.35684,27.878795,8.019859,1.9720476,34.218037,40.8998,0.0617,0.110395305,5.513871,0.025857302,0.212913559,0.2353536
-1.8080176,0.000974592,327.35536,49.85512,27.974214,8.020615,1.977608,34.19212,41.043907,0.0722,0.11148972,5.539668,0.025542291,0.122743754,0.2477952
-1.8033675,0.000971693,326.80044,49.820688,27.960116,8.022365,1.9753408,34.117657,40.971172,0.105357,0.113604866,5.548827,0.026362992,0.109150597,0.3027456
